cpv,dkpp,name
30195500-7,32.99.16-10.00,Дошки для малювання крейдою або комплектуючі до них
22831000-4,17.23.13-30.00,Змінні блоки для зошитів шкільних
30195200-4,26.40.34-60.00,Оригіналтримачі електронні або комплектуючі до них
30197000-6,28.23.23-00.00,устаткування дрібне офісне
30193000-8,17.23.1,Органайзери та комплектуючі до них
22114300-5,58.11.16-00.00,Карти
39292110-9,22.29.25-00.00,Гумки для дощок шкільних
33761000-2,17.22.11-20.00,Папір туалетний
30192310-7,22.29.25-00.00,Стрічки до друкарських машинок
22473000-6,58.11.12-00.00,Настанови технічні
30197600-2,17.23.14-00.00,Папір та картон оброблені
30197100-7,25.99.23-50.00,"Скоби, цвяхи, креслярські кнопки"
22452000-3,58.19.19-00.00,Бланки поштових переказів
22100000-1,58.11,"Книжки, брошури та рекламні проспекти друковані"
30199100-1,17.12.76-00.00,"Папір копіювальний, папір самокопіювальний, трафарети паперові та папір перебивний"
42122100-1,28.29.12-30.00,Помпи для рідин
30193100-9,17.23.1,Шафи з шухлядами канцелярські
39224330-0,22.29.23-50.00,Ковші
22150000-6,58.11.19-00.00,Брошури
30192126-0,32.99.12-30.00,Ручки технічні
22455000-4,58.19.19-00.00,Посвідчення особи
30199712-4,17.23.12-30.00,Конверти друковані без адресного віконця
30199400-4,17.12.77-33.00,Папір гумований чи липкий
33771000-5,17.22.11,Вироби паперові санітарно-гігієнічної призначеності
22451000-6,58.19.19-00.00,Паспорти
30199770-8,17.29.11-20.00,Талони на обід
30192125-3,32.99.12-30.00,Маркери
22817000-0,17.23.13-17.00,Щоденники та індивідуальні органайзери
30197510-4,20.41.42-80.00,Приладдя до воску для герметизації
30199730-6,17.23.1,Візитки
22413000-8,58.19.14-00.00,Марки колекційні
22455100-5,58.19.19-00.00,Браслети ідентифікаційні
24910000-6,20.52.10-80.00,Клеї
33771200-7,17.22.11,Прокладки гігієнічні
22993300-0,17.12.13-00.00,Папір-основа та картон-основа термографічні
30193800-6,17.21.15-50.00,Фіксатори інформаційних матеріалів
22212000-9,58.14.19-0.00,Видання періодичні
30192123-9,32.99.12-30.00,Ручки волоконні
30195800-0,17.21.15-50.00,Направляючі або фіксатори підвісні
30192160-0,22.29.25-00.00,Коректори
30193600-4,17.21.15-50.00,Фіксатори щоденників або календарів
30199713-1,17.23.12-30.00,Конверти друковані для рентгенівських плівок
42122161-6,28.29.12-30.00,Помпи водяного охолоджування
30192930-9,17.23.1,Ручки-коректори
22830000-7,17.23.13-30.00,Зошити
22114400-6,18.12.19-20.00,Ноти музичні друковані
22313000-7,58.19.12-00.00,Картинки перебивні
30199731-3,22.29.25-00.00,Візитниці
30192400-5,22.29.25-00.00,Приладдя копіювально-розмножувальне
33741000-6,20.42.15-00.00,Продукція для догляду за руками
30194000-5,26.51.32-00.00,Матеріали креслярські
22315000-1,58.19.12-00.00,Фотографії
30194210-0,26.51.32-00.00,Точки чи стрічки креслярські
30199210-5,17.23.12-30.00,Листівки поштові закриті
