cpv,cav,name
42130000-9,42130000-6,"Арматура трубопровідна: крани, вентилі, клапани та подібні пристрої"
34352100-0,34352100-0,Шини для вантажних автомобілів
32354800-7,32354800-7,Харчова плівка
39712300-9,39712300-9,Сушарки для рук
32552500-2,32552500-2,Телетекстова апаратура
30233120-8,30233120-8,Накопичувачі на магнітних стрічках
39711340-4,39711340-4,Підігрівачі тарілок
42414300-4,42414300-4,Консольні крани
39224310-4,39224310-4,Туалетні йоржики
42999200-7,42999200-7,Промислові підлогонатирачі
34144760-3,34144760-3,Пересувні бібліотеки
39223200-3,39223200-3,Виделки
34962000-8,34962000-8,Обладнання для керування повітряним рухом
30191000-4,30191000-4,"Офісне устаткування, крім меблів"
39525800-6,39525800-6,Ганчірки для прибирання
42131142-3,42131142-0,Регулювальні клапани
32351200-0,32351200-0,Екрани
42642300-1,42642300-1,Верстати для обробки корку
39241130-3,39241130-3,Багатофункціональні ножі
34144200-0,34144200-0,Транспортні засоби аварійних служб
30236113-7,30236113-7,Динамічні оперативні запам’ятовувальні пристрої з синхронних доступом (SDRAM)
34514500-8,34514500-8,Плавучі промислові установки
42131147-8,42131147-5,Запобіжні клапани
32236000-6,32236000-6,Радіотелефони
30194000-5,30194000-5,Креслярське приладдя
32324400-4,32324400-4,Телевізійні антени
34996000-5,34996000-5,"Регулювальне, запобіжне чи сигнальне дорожнє обладнання"
42412100-8,42412100-8,Шахтові лебідки та лебідки для підземних гірничих робіт
42994230-1,42994230-1,Ламінатори
32584000-0,32584000-0,Носії із записаними даними
39721200-4,39721200-4,Газові холодильники
32420000-3,32420000-3,Мережеве обладнання
30237290-8,30237290-8,Підставки для рук до клавіатури
34000000-7,34000000-7,Транспортне обладнання та допоміжне приладдя до нього
39200000-4,39200000-4,Меблева фурнітура
34400000-1,34400000-1,"Мотоцикли, велосипеди та коляски"
30131300-9,30131300-9,Адресувальні пристрої
42636000-3,42636000-3,Преси
34994100-2,34994100-2,Освітлювальна апаратура для річкової навігації та зовнішнього освітлення
42418300-2,42418300-2,Устаткування для демонтажу факельних наконечників
30195912-8,30195912-8,Дошки-мольберти для маркерів
39161000-8,39161000-8,Меблі для дитячого садка
42967100-3,42967100-3,Цифрові пристрої дистанційного керування
42131143-0,42131143-7,Клапани регулювання стоків та запобігання затопленню
34134000-5,34134000-5,Евакуатори та самоскиди
34223330-8,34223330-8,Пересувні блоки на причепи
16120000-2,16120000-2,"Борони, скарифікатори, культиватори, прополювачі або розпушувачі"
30197630-1,30197630-1,Папір для друку
39132400-0,39132400-0,Обертові картотеки
39721410-9,39721410-9,Газові прилади
39525200-0,39525200-0,Тканинні фільтрувальні елементи
34622300-6,34622300-6,Тролейбуси
32234000-2,32234000-2,Камери відеоспостереження
34946121-4,34946121-4,Рейкові накладки та підкладки
34731800-8,34731800-8,Авіаційні шини
34913300-3,34913300-3,Автомобільні крила
42124290-3,42124290-0,Частини відцентрових насосів
32581110-3,32581110-3,Багатопровідні кабелі для передачі даних
42416100-6,42416100-6,Підіймальні пристрої
32354200-1,32354200-1,Кіноплівка
30233141-1,30233141-1,Надлишковий масив незалежних дисків (RAID)
30124130-4,30124130-4,Лампи для термофіксаторів
42152000-9,42152000-6,Частини ядерних реакторів
30122100-1,30122100-1,Цифрові системи для офсетного друку
32333300-9,32333300-9,Відеовідтворювальна апаратура
34946222-2,34946222-2,Хрестовини глухого перетину
30195100-3,30195100-3,Планувальні дошки чи приладдя
39561120-9,39561120-9,Текстильна тасьма
32324100-1,32324100-1,Кольорові телевізори
42512500-3,42512500-3,Частини кондиціонерів повітря
34946200-2,34946200-2,Приладдя для будівництва залізничних колій
42716110-2,42716110-2,Пральне устаткування
30199763-6,30199763-6,Протикрадіжне марковання
34312600-3,34312600-3,Гумові конвеєрні стрічки
34999300-9,34999300-9,Установки для нанесення гальванічного покриття
42957000-9,42957000-9,Частини розпилювальних машин
39715230-8,39715230-8,Електроприлади для обігріву ґрунту
39713510-1,39713510-1,Парові праски
42112210-2,42112210-9,Водяні колеса
34970000-7,34970000-7,Обладнання для моніторингу руху транспорту
34133110-2,34133110-2,Автоцистерни для перевезення паливно-мастильних матеріалів
39315000-3,39315000-3,Ресторанне обладнання
34312300-0,34312300-0,Автомобільні радіатори
32552130-7,32552130-7,Таксофони
39721321-8,39721321-8,Осушувачі стисненого повітря
32412120-1,32412120-1,Мережа Інтранет
34931500-7,34931500-7,Обладнання для контролю руху суден
39292200-7,39292200-7,Грифельні дошки
42600000-2,42600000-2,Верстати
39514400-2,39514400-2,Диспенсери для рушників
39350000-0,39350000-0,Каналізаційне обладнання
30237200-1,30237200-1,Комп’ютерні аксесуари
32562000-0,32562000-0,Оптоволоконні кабелі
30194500-0,30194500-0,Допоміжні засоби для шрифтового оформлення
34928471-0,34928471-0,Матеріали для виготовлення дорожніх знаків і вказівників
34951000-8,34951000-8,Ремонтні платформи
39713430-6,39713430-6,Пилососи
42123700-4,42123700-1,Відцентрові компресори
34221200-4,34221200-4,Пересувні пункти оперативного реагування на надзвичайні ситуації
42215000-6,42215000-6,Машини для промислової обробки чи виробництва продуктів харчування чи напоїв
42514300-5,42514300-5,Фільтрувальна апаратура
39712000-6,39712000-6,Електричні побутові прилади для догляду за тілом
32353000-2,32353000-2,Носії звукозапису
32552120-4,32552120-4,Телефони аварійного зв’язку
30141000-9,30141000-9,Лічильні машини
39522400-1,39522400-1,Вітрила
42124211-6,42124211-3,Частини паливних насосів
42671110-4,42671110-4,Штативи для пробірок для занурення
34913510-8,34913510-8,Велосипедні замки
42718200-4,42718200-4,Прасувальні преси
39160000-1,39160000-1,Шкільні меблі
30234000-8,30234000-8,Носії інформації
39132200-8,39132200-8,Багатошухлядні шафи-картотеки
42415300-1,42415300-1,Тягачі для обслуговування залізничних станцій
32342300-5,32342300-5,Мікрофони та звукові колонки
34121100-2,34121100-2,Громадські автобуси
16320000-4,16320000-4,Сінозбиральні машини
32423000-4,32423000-4,Мережеві концентратори
16310000-1,16310000-1,Косарки
42131160-5,42131160-2,Гідранти
34513350-4,34513350-4,Водолазні судна
39113500-2,39113500-2,Табурети
34513400-0,34513400-0,Плавучі крани
42912320-1,42912320-1,Деаераційні апарати
30131000-6,30131000-6,Устаткування для експедиції письмової кореспонденції
32425000-8,32425000-8,Мережеві операційні системи
34721100-8,34721100-8,Дельтаплани
34612100-1,34612100-1,Локомотивні тендери
16710000-5,16710000-5,Мотоблоки
39162100-6,39162100-6,Навчальне обладнання
42122440-6,42122440-3,Роторні насоси
30237340-4,30237340-4,Картриджі цифрової стрічки з лінійним записом (DLT-картриджі)
30199791-1,30199791-1,Настінні щоденники
34928530-2,34928530-2,Вуличні ліхтарі
42910000-8,42910000-8,"Апарати для дистилювання, фільтрування чи ректифікації"
42651000-4,42651000-4,Пневматичні ручні інструменти
34997100-3,34997100-3,Бортові самописці
34139300-3,34139300-3,Суцільні шасі
42961300-3,42961300-3,Системи визначання місцезнаходження транспортних засобів
32552000-7,32552000-7,Електрична апаратура для дротової телефонії чи дротової телеграфії
34731400-4,34731400-4,Реактивні двигуни
34420000-7,34420000-7,Моторолери та моторизовані велосипеди
30174000-9,30174000-9,Принтери для друку етикеток
42993000-3,42993000-3,Машини для хімічної промисловості
32332100-0,32332100-0,Диктофони
39112100-1,39112100-1,Стільці для їдалень
42992300-9,42992300-9,Матеріали-поглиначі електромагнітного опромінювання
42418200-1,42418200-1,Обладнання для монорейкових доріг і гірськолижних підіймачів
32333100-7,32333100-7,Відеомагнітофони
34928120-5,34928120-5,Частини бар’єрів
39721411-6,39721411-6,Газові нагрівачі
30125000-1,30125000-1,Частини та приладдя до фотокопіювальних апаратів
39721320-1,39721320-1,Осушувачі повітря
39711121-3,39711121-3,Морозильні контейнери
39153000-9,39153000-9,Меблі для конференц-зал
32521000-1,32521000-1,Телекомунікаційні кабелі
42141300-2,42141300-9,Зубчасті колеса та зубчасті передачі
34144511-3,34144511-3,Сміттєзбиральні машини
34950000-1,34950000-1,Тримальні конструкції
39300000-5,39300000-5,Обладнання різне
39222200-6,39222200-6,Таці
39717200-3,39717200-3,Кондиціонери
39512300-7,39512300-7,Наматрацники
34224200-5,34224200-5,Частини інших транспортних засобів
34631400-3,34631400-3,Колісні осі та бандажі й інші частини локомотивів чи рейкового рухомого складу
34928450-7,34928450-7,Боларди
34513150-2,34513150-2,Рибопереробні судна
34931000-2,34931000-2,Портове обладнання
42921330-0,42921330-0,Обгортальні машини
30192126-0,30192126-0,Рапідографи
42212000-5,42212000-5,Машини для обробки злакових культур або сушених овочів
39711100-0,39711100-0,Холодильники та морозильні камери
30199400-4,30199400-4,Прогумований або клейкий папір
34969200-9,34969200-9,Літакові пересувні трапи
34928330-0,34928330-0,Пристрої для протилавинного захисту
30142100-7,30142100-7,Обчислювальні техніка
42113300-7,42113300-4,Частини газових турбін
30221000-4,30221000-4,Електронні кадастрові мапи
42341000-8,42341000-8,Промислові печі
42123400-1,42123400-8,Повітряні компресори
39310000-8,39310000-8,Обладнання для закладів громадського харчування
42414410-8,42414410-8,Крани-маніпулятори для вантажних автомобілів
39522100-8,39522100-8,"Брезентові вироби, тенти та маркізи"
34139000-0,34139000-0,Шасі
30192160-0,30192160-0,Коректори
34631000-9,34631000-9,Частини локомотивів чи рухомого складу
30198100-4,30198100-4,Ігрові автомати
30144300-3,30144300-3,Обладнання для обліку наявності та руху транспортних засобів
39711130-9,39711130-9,Холодильники
39113000-7,39113000-7,Сидіння та стільці різні
42913400-3,42913400-3,Бензинові фільтри
39221170-9,39221170-9,Сушарки для посуду
39525300-1,39525300-1,Рятувальні жилети
39261000-9,39261000-9,Секційні лотки
34136200-1,34136200-1,Фургони з цільнометалевим кузовом
42124210-9,42124210-6,"Частини паливних, ручних і бетонних насосів"
32520000-4,32520000-4,Телекомунікаційні кабелі та обладнання
39298900-6,39298900-6,Декоративні вироби різні
34961000-1,34961000-1,Системи обробки багажу
30195800-0,30195800-0,Мобільні вішалки чи підвісні тримачі
30237120-6,30237120-6,Комп’ютерні порти
30199711-7,30199711-7,Фірмові конверти з віконцем
30216000-6,30216000-6,Магнітні та оптичні зчитувальні пристрої
34312700-4,34312700-4,Гумові приводні паси
34941600-1,34941600-1,Стрілочні переводи
42924720-2,42924720-2,Дезінфекційне обладнання
42414110-5,42414110-5,Портові крани
42213000-2,42213000-2,"Машини, що використовуються у виробництві алкогольних або фруктових напоїв"
42123200-9,42123200-6,Роторні компресори
42417200-4,42417200-4,Конвеєри
32552410-4,32552410-4,Модеми
42100000-0,42100000-7,"Машини, що виробляють та використовують механічну енергію"
42912300-5,42912300-5,Машини та апарати для фільтрування чи очищення води
42310000-2,42310000-2,Пічні пальники
34513100-7,34513100-7,Риболовні судна
42912000-2,42912000-2,Машини та апарати для фільтрування чи очищення рідин
16612000-8,16612000-8,Машини для сортування чи калібрування сільськогосподарської продукції
32572200-5,32572200-5,Комунікаційні кабелі з коаксіальними провідниками
34712200-3,34712200-3,Супутники
39514100-9,39514100-9,Рушники
30121400-7,30121400-7,Механічні копіювальні апарати
30124150-0,30124150-0,Фільтри для термофіксаторів
34990000-3,34990000-3,"Регулювальне, запобіжне, сигнальне та освітлювальне обладнання"
30197621-5,30197621-5,Паперові блоки для фліпчартів
32351310-4,32351310-4,Аудіокасети
34923000-3,34923000-3,Обладнання для контролю дорожнього руху
34514200-5,34514200-5,Самопідіймальні бурові установки
39143110-0,39143110-0,Ліжка та спальне приладдя і домашній текстиль
42152100-0,42152100-7,Системи охолодження реакторів
30192910-3,30192910-3,Корегувальна плівка чи стрічка
32542000-4,32542000-4,Комутаційні панелі
42124150-0,42124150-7,Частини гідравлічних двигунів або моторів
42419510-4,42419510-4,Частини підіймальних пристроїв
30236000-2,30236000-2,Комп’ютерне обладнання різне
42221100-2,42221100-2,Частини машин для виробництва молочної продукції
42921320-7,42921320-7,Пакувальні машини
30233132-5,30233132-5,Накопичувачі на твердих магнітних дисках
39721310-8,39721310-8,Повітронагрівачі
30233130-1,30233130-1,Накопичувачі на магнітних дисках
34113300-5,34113300-5,Позашляхові засоби транспортні
39263100-4,39263100-4,Письмові набори
42418100-0,42418100-0,Штовхачі шахтних вагонеток і механізми для переставляння локомотивів або вагонів
34500000-2,34500000-2,Судна та човни
34711500-9,34711500-9,Вертольоти
42924200-1,42924200-1,Пароструминні та піскоструминні машини
42994100-1,42994100-1,Машини для виробництва пластикових вікон і рам
34711110-8,34711110-8,Повітряні літальні апарати з нерухомими крилами
30236123-0,30236123-0,Програмовані енергонезалежні постійні запам’ятовувальні пристрої з можливістю перезапису (EEPROM)
34997210-7,34997210-7,Системи освітлення злітно-посадкової смуги
32342412-3,32342412-3,Динаміки
42113130-4,42113130-1,Конденсувальні системи охолодження повітря
39711440-5,39711440-5,Електричні плити
30220000-7,30220000-7,Цифрове картографічне обладнання
42995100-8,42995100-8,Мийні машини тунельного типу
39191100-8,39191100-8,Шпалери
32252100-5,32252100-5,Мобільні телефони з гарнітурою «вільні руки»
34913700-7,34913700-7,Драбини для пожежних машин
32553000-4,32553000-4,Частини електричної телефонної та телеграфної апаратури
39541140-9,39541140-9,Шпагати
39224300-1,39224300-1,"Мітли, щітки та інше прибиральне приладдя"
42999400-9,42999400-9,Частини промислових підлогонатирачів
30123630-2,30123630-2,Автомати для пакування монет
42912100-3,42912100-3,Машини та апарати для фільтрування рідин
42931100-2,42931100-2,Лабораторні центрифуги та приладдя до них
34991000-0,34991000-0,Стадіонні прожектори
34928200-0,34928200-0,Огорожі
39155100-4,39155100-4,Бібліотечне обладнання
42413400-8,42413400-8,Механічні домкрати
30194800-3,30194800-3,Рейсшини та косинці
34223350-4,34223350-4,Причепи з поворотними драбинами
30199330-2,30199330-2,Паперова стрічка для комп’ютерних принтерів
30237320-8,30237320-8,Дискети
34966000-6,34966000-6,Радіокомпаси та ненаправлені радіомаяки
34721000-7,34721000-7,Планери
42414500-6,42414500-6,Крани мостового типу
34137000-6,34137000-6,"Вантажні транспортні засоби, що були у використанні"
39000000-2,39000000-2,"Меблі (у тому числі офісні меблі), меблево-декоративні вироби, побутова техніка (крім освітлювального обладнання) та засоби для чищення"
39714100-1,39714100-1,Вентилятори
16330000-7,16330000-7,Преси для соломи чи сіна
34921200-1,34921200-1,Машини для очищення злітно-посадкових смуг
30192200-3,30192200-3,Вимірювальна рулетка
42637300-3,42637300-3,Верстати для фрезерування металу
39812400-1,39812400-1,Пиловловлювальні засоби для підмітання підлоги
30197640-4,30197640-4,Самокопіювальний та інший копіювальний папір
34711300-7,34711300-7,Пілотовані літальні апарати
34132000-1,34132000-1,Мотосани
42122120-7,42122120-4,Паливозаправні пристрої для вертольотів
42996900-3,42996900-3,Обладнання для обробки мулу
32415000-5,32415000-5,Мережа Ethernet
39540000-9,39540000-9,"Вироби різні з канату, мотузки, шпагату та сітки"
42142200-8,42142200-5,Частини приводних елементів
39172000-8,39172000-8,Прилавки
34622100-4,34622100-4,Трамвайні пасажирські вагони
34223200-8,34223200-8,Паливозаправники
32221000-8,32221000-8,Радіомаяки
42414310-7,42414310-7,Пересувні підіймальні рами
34740000-6,34740000-6,"Обладнання для повітряних і космічних літальних апаратів, тренажери, симулятори та супутні деталі"
42417210-7,42417210-7,Ковшові елеватори чи конвеєри безперервної дії
32321000-9,32321000-9,Телепроекційне обладнання
30132300-6,30132300-6,Сортувальні машини
16613000-5,16613000-5,"Машини для очищення, сортування чи калібрування насіння, зерна чи сушених овочів"
39311000-5,39311000-5,Дрібне приладдя для закладів громадського харчування
30199770-8,30199770-8,Талони на харчування
32231000-1,32231000-1,Апаратура для замкнутих телевізійних систем
32545000-5,32545000-5,Системи приватних автоматичних телефонних станцій
34144400-2,34144400-2,Транспортні засоби для утримання доріг
39141300-5,39141300-5,Кухонні гарнітури
32543000-1,32543000-1,Телефонні комутатори
39831000-6,39831000-6,Засоби для прання і миття
39832100-4,39832100-4,Порошки для миття посуду
42633000-2,42633000-2,"Машини згинальні, фальцювальні, рихтувальні чи правильні"
39831700-3,39831700-3,Автоматичні дозатори рідкого мила
39516120-9,39516120-9,Подушки
39254100-8,39254100-8,Годинники
32544000-8,32544000-8,Обладнання для приватних автоматичних телефонних станцій
42131110-0,42131110-7,Клапани радіаторів центрального опалення
30145100-8,30145100-8,Картриджі для калькуляторів
32552320-6,32552320-6,Мультиплексори
39292000-5,39292000-5,Шкільні грифельні чи інші дошки для писання чи малювання або приладдя до них
34512700-6,34512700-6,Ролкери
39143115-5,39143115-5,Клейонки
42923000-2,42923000-2,Зважувальні машини та ваги
30124120-1,30124120-1,Серветка для очищення термофіксаторів
39226300-5,39226300-5,Шпульки чи котушки
39230000-3,39230000-3,Вироби спеціального призначення
42417100-3,42417100-3,Пневматичні елеватори чи конвеєри
42510000-4,42510000-4,"Теплообмінники, кондиціонери повітря, холодильне обладнання та фільтрувальні пристрої"
30197320-5,30197320-5,Степлери
42131230-7,42131230-4,Засувки
42996110-8,42996110-8,Мацератори для стічних вод
30237280-5,30237280-5,Пристрої електроживлення
39700000-9,39700000-9,Побутова техніка
34144100-9,34144100-9,Пересувні бурові вежі
42113390-4,42113390-1,Газопаливні системи
34133100-9,34133100-9,Автоцистерни
42921200-0,42921200-0,"Машини для наповнювання чи закупорювання пляшок, бляшаних банок або інших посудин"
30236114-4,30236114-4,Динамічні оперативні запам’ятовувальні пристрої стандарту Rambus (RDRAM)
39500000-7,39500000-7,Текстильні вироби
30121000-3,30121000-3,Фотокопіювальні та термокопіювальні пристрої
34522300-5,34522300-5,Малі судна
30193300-1,30193300-1,Підвісні органайзери
34144210-3,34144210-3,Пожежні транспортні засоби
39721400-6,39721400-6,Неелектричні проточні чи акумуляційні водонагрівачі
42720000-9,42720000-9,Частини машин для виробництва текстильних виробів та одягу
39511200-9,39511200-9,Пледи
30233151-4,30233151-4,Пристрої для читання та/або запису компакт-дисків (CD)
34121500-6,34121500-6,Туристичні автобуси
34946232-5,34946232-5,Рейкові опори та шпали
32583000-3,32583000-3,"Носії для зберігання даних, у тому числі голосових"
34632200-8,34632200-8,Електричні сигнальні системи для залізничних доріг
42131270-9,42131270-6,Коркові крани
39241110-7,39241110-7,Столові ножі
42912350-0,42912350-0,Обладнання для фільтрувальних установок
30236110-6,30236110-6,Оперативні запам’ятовувальні пристрої (RAM)
34946210-5,34946210-5,Струмопровідні рейки
39291000-8,39291000-8,Пральне приладдя
30197220-4,30197220-4,Канцелярські скріпки
42965100-9,42965100-9,Системи управління складами
32441100-7,32441100-7,Телеметричні системи відеоспостереження
32344280-2,32344280-2,Рації
34144520-9,34144520-9,Асенізаційні автоцистерни
34741000-3,34741000-3,Обладнання для повітряних літальних апаратів
34513550-6,34513550-6,Гідрографічні судна
42994000-0,42994000-0,Машини для обробки гуми чи пластмас
32341000-5,32341000-5,Мікрофони
30237210-4,30237210-4,Антиблікові екрани
34514600-9,34514600-9,Напівзанурювані установки
42131390-6,42131390-3,Клапанні системи
34513750-8,34513750-8,Плавучі маяки
30199730-6,30199730-6,Візитні картки
34512100-0,34512100-0,Пороми
39162110-9,39162110-9,Навчальне приладдя
34731700-7,34731700-7,Частини вертольотів
42641100-2,42641100-2,Верстати для обробки каменю
34953000-2,34953000-2,Рампи
39265000-7,39265000-7,Гачки та петлі
30142200-8,30142200-8,Касові апарати
39541220-4,39541220-4,Стропи
39221121-1,39221121-1,Чашки
34430000-0,34430000-0,Велосипеди
32541000-7,32541000-7,Комутаційне обладнання
34710000-7,34710000-7,"Вертольоти, літаки, космічні та інші літальні апарати з двигуном"
30195000-2,30195000-2,Дошки
39143300-9,39143300-9,Меблі для вітальні
30195700-9,30195700-9,Набори для очищення дощок чи приладдя
30196100-0,30196100-0,Планувальники зустрічей
30192110-5,30192110-5,Чорнила та пов’язана продукція
42210000-1,42210000-1,"Машини для обробки продуктів харчування, виробництва напоїв та обробки тютюну"
39716000-4,39716000-4,Частини побутових електричних приладів
34511100-3,34511100-3,Морські патрульні катери
42968300-2,42968300-2,Диспенсери туалетного паперу
42637200-2,42637200-2,Верстати для розточування металів
30160000-8,30160000-8,Магнітні картки
32354500-4,32354500-4,Відеоплівки
32344200-8,32344200-8,Радіоприймачі
32551100-1,32551100-1,Телефонні з’єднувачі
39170000-4,39170000-4,Магазинні меблі
42413200-6,42413200-6,Гідравлічні домкрати
30195900-1,30195900-1,Дошки для маркерів та магнітні дошки
42415210-3,42415210-3,Автоманіпулятори з навантажувально-розвантажувальним обладнанням
30194700-2,30194700-2,Трафарети
30141400-3,30141400-3,Підсумовувальні машини
39525700-5,39525700-5,Рятувальні пояси
32331200-4,32331200-4,Касетні програвачі
34211200-9,34211200-1,Кузови автомобілів швидкої допомоги
34312100-8,34312100-8,Вентиляторні паси
32252110-8,32252110-8,Мобільні телефони з бездротовою гарнітурою «вільні руки»
30237132-3,30237132-3,Інтерфейси універсальних послідовних шин (USB-інтерфейси)
39832000-3,39832000-3,Засоби для миття посуду
42122450-9,42122450-6,Вакуумні насоси
32552520-8,32552520-8,Телексне обладнання
42131291-2,42131291-9,Засувки шиберні
39241200-5,39241200-5,Ножиці
39155000-3,39155000-3,Бібліотечні меблі
42996600-0,42996600-0,Обладнання для насичення киснем
39715200-9,39715200-9,Опалювальне обладнання
34143000-1,34143000-1,Транспортні засоби для утримання доріг узимку
39518000-6,39518000-6,Лікарняна білизна
30192151-4,30192151-4,Пломбіратори
34515200-2,34515200-2,Надувні плоти
30193700-5,30193700-5,Коробки для паперів
42412000-7,42412000-7,"Шахтні лебідки, лебідки для підземних гірничих робіт і кабестани"
34114300-2,34114300-2,Транспортні засоби служб соціальної допомоги
16630000-0,16630000-0,Обладнання для приготування кормів для тварин
30198000-3,30198000-3,Лотерейні автомати
34223300-9,34223300-9,Причепи
42211000-8,42211000-8,Машини для виробництва молочної продукції
42967000-2,42967000-2,Блоки керування
39813000-4,39813000-4,Абразивні пасти і порошки для чищення
30194320-4,30194320-4,Папір для креслення
30192112-9,30192112-9,Чорнила для друкарського обладнання
39296100-4,39296100-4,Труни
30197400-0,30197400-0,Канцелярські губки
34992000-7,34992000-7,Вказівники та світлові вказівники
32500000-8,32500000-8,Телекомунікаційне обладнання та приладдя
16612100-9,16612100-9,Машини для сортування чи калібрування яєць
39121000-6,39121000-6,Письмові та інші столи
39225000-5,39225000-5,"Запальнички, вироби із горючих матеріалів, піротехнічні вироби, сірники, рідкий та скраплений газ"
32323300-6,32323300-6,Відеообладнання
16640000-3,16640000-3,Обладнання для бджільництва
39314000-6,39314000-6,Промислове кухонне обладнання
32552300-0,32552300-0,Телефонні чи телеграфні комутаційні апарати
30211200-3,30211200-3,Апаратне забезпечення мейнфреймів
34422000-7,34422000-1,Моторизовані велосипеди
30197130-6,30197130-6,Креслярські кнопки
39221200-9,39221200-9,Столовий посуд
34513200-8,34513200-8,Буксири
42943000-8,42943000-8,Термостатичні бані та приладдя до них
32354300-2,32354300-2,Фотоплівка
39298910-9,39298910-9,Новорічні ялинки
42112000-7,42112000-4,Турбінні установки
42420000-6,42420000-6,"Ковші, лопати, грейдери та затискачі для підіймальних кранів чи екскаваторів"
34928110-2,34928110-2,Дорожні бар’єри
39711110-3,39711110-3,Холодильники з морозильною камерою
30192132-5,30192132-5,Змінні грифелі для олівців
30199410-7,30199410-7,Самоклейний папір
32342450-1,32342450-1,Пристрої запису усного мовлення
30192330-3,30192330-3,Стрічка та барабани для калькуляторів з функцією друку
34326100-9,34326100-9,Муфти зчеплення та супутні деталі
39721100-3,39721100-3,Побутові прилади для готування їжі
34711000-4,34711000-4,Вертольоти та літаки
42418210-4,42418210-4,Обладнання для підвісних монорейкових доріг
34114400-3,34114400-3,Мікроавтобуси
30150000-5,30150000-5,Друкарські машинки
34522200-4,34522200-4,Рятувальні шлюпки
34522600-8,34522600-8,Веслові човни
39241120-0,39241120-0,Кухонні ножі
32547000-9,32547000-9,Вакуумні комутатори
34600000-3,34600000-3,Залізничні та трамвайні локомотиви і рейковий рухомий склад та супутні деталі
34993000-4,34993000-4,Системи дорожнього освітлення
42215200-8,42215200-8,Машини для обробки продуктів харчування
30200000-1,30200000-1,Комп’ютерне обладнання та приладдя
42981000-6,42981000-6,Озоногенератори
32413100-2,32413100-2,Маршрутизатори
42141500-4,42141500-1,Муфти зчеплення
30237134-7,30237134-7,Графічні акселератори
30199700-7,30199700-7,"Друковані канцелярські вироби, крім бланків"
32413000-1,32413000-1,Інтегровані мережі
42410000-3,42410000-3,Підіймально-транспортувальне обладнання
32330000-5,32330000-5,Апаратура для запису та відтворення аудіо- та відеоматеріалу
42131100-7,42131100-4,"Арматура, що визначена за функціональними ознаками"
39227200-1,39227200-1,Наперстки
30196000-9,30196000-9,Планувальні системи
34512400-3,34512400-3,Вантажі судна
39136000-4,39136000-4,Вішалки-плічки
39298300-0,39298300-0,Вази для квітів
34411100-2,34411100-2,Коляски до мотоциклів
39171000-1,39171000-1,Вітрини
32530000-7,32530000-7,Телекомунікаційне супутникове обладнання
39225700-2,39225700-2,"Пляшки, банки та флакони"
39221140-0,39221140-0,Фляги для води
39513200-3,39513200-3,Столові серветки
42642100-9,42642100-9,Верстати для обробки деревини
42661100-8,42661100-8,Обладнання для паяння м’яким припоєм
32324600-6,32324600-6,Приймачі цифрового телебачення
42921100-9,42921100-9,Машини для миття чи сушіння пляшок або інших посудин
42716100-9,42716100-9,Пральні установки
16610000-4,16610000-4,"Машини для очищення, сортування чи калібрування яєць, фруктів чи іншої сільськогосподарської продукції"
42998100-9,42998100-9,Системи автоматизованого повернення піддонів
34351000-2,34351000-2,Шини для транспортних засобів малої тоннажності
39562000-9,39562000-9,Фетр
32351300-1,32351300-1,Приладдя до аудіообладнання
34941200-7,34941200-7,Рейкові колії
34621100-7,34621100-7,Вантажні залізничні вагони
42124000-4,42124000-1,"Частини насосів, компресорів, двигунів або моторів"
39225500-0,39225500-0,Піротехнічні вироби
34946120-7,34946120-7,Матеріали для будівництва залізничних доріг
42640000-4,42640000-4,"Верстати для обробки твердих матеріалів, окрім металів"
42419500-1,42419500-1,"Частини підіймальних пристроїв, скіпових підіймачів чи ескалаторів"
16331000-4,16331000-4,Тюкові преси-підбирачі
30199320-9,30199320-9,Тиснений або перфорований папір для письма
42943400-2,42943400-2,Циркуляційні установки для охолодження / нагрівання
34142200-6,34142200-6,Скіпові навантажувачі
34144700-5,34144700-5,Транспортні засоби для технічного обслуговування
34144431-8,34144431-8,Підмітально-збиральні машини з вакуумно-пневматичною системою
32251000-7,32251000-7,Автомобільні телефони
30132100-4,30132100-4,Обладнання для сортування кореспонденції
34997200-4,34997200-4,Аеропортове освітлювальне обладнання
30199762-9,30199762-9,Багажні ярлики
39157000-7,39157000-7,Частини меблів
34920000-2,34920000-2,Дорожнє обладнання
42900000-5,42900000-5,Універсальні та спеціалізовані машини різні
34946223-9,34946223-9,Перевідні штанги
30211100-2,30211100-2,Суперкомп’ютер
42164000-6,42164000-3,Допоміжне обладнання для котлів
42414100-2,42414100-2,Підіймальні крани
32343100-0,32343100-0,Підсилювачі звукових частот
42418400-3,42418400-3,Механізми карусельного типу для зберігання та подачі
42512100-9,42512100-9,Віконні кондиціонери повітря
34947200-9,34947200-9,Частини шпал
39181000-4,39181000-4,Лабораторні столи
30231100-8,30231100-8,Комп’ютерні термінали
34322300-3,34322300-3,Гальмові накладки
39223100-2,39223100-2,Ложки
32331300-5,32331300-5,Звуковідтворювальна апаратура
34514300-6,34514300-6,Установки бурових платформ
42931110-5,42931110-5,Підлогові центрифуги
39131000-9,39131000-9,Офісні стелажі
30194600-1,30194600-1,Транспортири
30121200-5,30121200-5,Фотокопіювальне обладнання
42122220-8,42122220-5,Каналізаційні насоси
34514400-7,34514400-7,Плавучі бурові платформи
34928210-3,34928210-3,Дерев’яні стовпи
42123500-2,42123500-9,Турбокомпресори
