cpv,cav,name
34513300-9,34513300-9,Морські плавучі доки
39114000-4,39114000-4,Частини сидінь
39512100-5,39512100-5,Простирадла
32412000-4,32412000-4,Комунікаційні мережі
34722100-5,34722100-5,Аеростати
30199780-1,30199780-1,Бювари
39563500-1,39563500-1,Текстильні вироби технічного призначення
30195913-5,30195913-5,Стенди для фліпчартів
34996300-8,34996300-8,"Регулювальне, запобіжне чи сигнальне обладнання для автомобільних стоянок"
30191100-5,30191100-5,Архівне устаткування
32321300-2,32321300-2,Аудіовізуальні матеріали
34512300-2,34512300-2,Балкери
39151200-7,39151200-7,Верстаки
42522100-2,42522100-2,Частини вентиляторів
30124510-2,30124510-2,Імпринтери
42131280-2,42131280-9,Дискові поворотні затвори
34115300-9,34115300-9,"Транспортні засоби, що були у використанні"
30237252-0,30237252-0,Пневматичний пилоочисник
42418220-7,42418220-7,Крісельні підіймачі
42964000-1,42964000-1,Обладнання для автоматизації офісу
30237270-2,30237270-2,Сумки для портативних комп’ютерів
39711211-1,39711211-1,Міксери
42921000-8,42921000-8,"Машини для миття, наповнювання, пакування чи обгортання пляшок або інших посудин"
16311000-8,16311000-8,Газонокосарки
30190000-7,30190000-7,Офісне устаткування та приладдя різне
30199750-2,30199750-2,Купони
30192320-0,30192320-0,Стрічка для принтерів
42622000-2,42622000-2,Верстати для нарізання зовнішньої та внутрішньої нарізі
42124212-3,42124212-0,Частини ручних насосів
39224210-3,39224210-3,Пензлі для фарбування
39254120-4,39254120-4,Настінні годинники
34311120-7,34311120-7,Дизельні двигуни
42215110-0,42215110-0,Хліборізки
39132300-9,39132300-9,Картотеки для підвісних файлів
30195200-4,30195200-4,Електронні дошки чи приладдя
34962230-9,34962230-9,Тренажери для підготовки авіаційних диспетчерів
30144200-2,30144200-2,Пристрої для друку квитків
42141410-6,42141410-3,Лебідки
42515000-9,42515000-9,Котли для централізованого опалення
34513500-1,34513500-1,Сейсморозвідувальні судна
39145000-0,39145000-0,Інвентар для винних льохів
30124110-8,30124110-8,Олива для термофіксаторів
30237100-0,30237100-0,Частини до комп’ютерів
30123000-7,30123000-7,Організаційна техніка
34941000-5,34941000-5,Рейки та приладдя
42412200-9,42412200-9,Кабестани
34928470-3,34928470-3,Вказівники
34144300-1,34144300-1,Пересувні мости
39713431-3,39713431-3,Приладдя до пилососів
39162000-5,39162000-5,Приладдя для навчальних закладів
39541120-3,39541120-3,Канати
39221260-7,39221260-7,Казанки
34223340-1,34223340-1,Причепи-цистерни
32427000-2,32427000-2,Мережеві системи
34410000-4,34410000-4,Мотоцикли
39298600-3,39298600-3,Глобуси
42670000-3,42670000-3,Частини та приладдя до верстатів
34522150-8,34522150-8,Вітрильні катамарани
30216110-0,30216110-0,Комп’ютерні сканери
32331000-2,32331000-2,Електропрогравачі
34522500-7,34522500-7,Гумові шлюпки
42991110-3,42991110-3,Брошурувальні машини
30212100-9,30212100-9,Центральні процесорні пристрої для мінікомп’ютерів
30196200-1,30196200-1,Ділові щоденники або змінні блоки до них
34931200-4,34931200-4,Телескопічні трапи для суден
34521400-9,34521400-9,Рятувальні човни
42151000-2,42151000-9,Ядерні реактори
32353100-3,32353100-3,Грамофонні платівки
39141000-2,39141000-2,Кухонні меблі та обладнання
30193200-0,30193200-0,Настільні лотки та органайзери
34741300-6,34741300-6,Аерофінішери
34224100-4,34224100-4,Частини причепів та напівпричепів
39811100-1,39811100-1,Освіжувачі повітря
34928310-4,34928310-4,Захисні огорожі
30236121-6,30236121-6,Програмовані постійні запам’ятовувальні пристрої (PROM)
30111000-0,30111000-0,Текстові процесори
39221250-4,39221250-4,Графини
39224000-8,39224000-8,"Мітли, щітки та інше господарське приладдя"
42131250-3,42131250-0,Голчасті клапани
42933000-5,42933000-5,Торгові автомати
30197510-4,30197510-4,Приладдя для користування сургучем
34933000-6,34933000-6,Навігаційне обладнання
32570000-9,32570000-9,Комунікаційне обладнання
32270000-6,32270000-6,Цифрова передавальна апаратура
42211100-9,42211100-9,Відцентрові сепаратори вершків
30141300-2,30141300-2,Калькулятори з функцією друку
42414130-1,42414130-1,Крани-штабелери
34110000-1,34110000-1,Легкові автомобілі
42932000-8,42932000-8,Вальцювальні машини
42924300-2,42924300-2,Розпилювальне обладнання
39512200-6,39512200-6,Підодіяльники
42991000-9,42991000-9,"Машини для виробництва паперу, друку, палітурування та їх частини"
16400000-9,16400000-9,Обприскувальні апарати для використання у сільському господарстві та рослинництві
34134200-7,34134200-7,Самоскиди
32572000-3,32572000-3,Комунікаційні кабелі
30193800-6,30193800-6,Затискачі для папірців-записок
42716130-8,42716130-8,Машини для сухого чищення
42215120-3,42215120-3,Беконорізки
39711500-4,39711500-4,Консервні ножі
42124170-6,42124170-3,Частини реактивних двигунів
42419530-0,42419530-0,Частини ескалаторів
30237220-7,30237220-7,Килимки для комп’ютерної миші
34942000-2,34942000-2,Сигнальне обладнання
34612200-2,34612200-2,Вагони канатної дороги
32510000-1,32510000-1,Бездротові телекомунікаційні системи
42122161-6,42122161-3,Насоси водяного охолодження
30192930-9,30192930-9,Ручки-коректори
39221110-1,39221110-1,Посуд
39111000-3,39111000-3,Сидіння
39122000-3,39122000-3,Серванти та книжкові шафи
42662200-6,42662200-6,Обладнання для неелектричного зварювання
30199731-3,30199731-3,Візитниці
30192400-5,30192400-5,Копіювально-розмножувальне приладдя
16500000-0,16500000-0,Сільськогосподарські самонавантажувальні та розвантажувальні причепи і напівпричепи
30233110-5,30233110-5,Накопичувачі на магнітних картках
42300000-9,42300000-9,"Промислові чи лабораторні, сміттєспалювальні та пекарські печі"
32572100-4,32572100-4,Комунікаційні багатопровідні кабелі
39514200-0,39514200-0,Кухонні рушники
30120000-6,30120000-6,Фотокопіювальне та поліграфічне обладнання для офсетного друку
32551300-3,32551300-3,Телефонна гарнітура
42413300-7,42413300-7,Пневматичні домкрати
34968200-2,34968200-2,Аеропортові системи освітлення
32416000-2,32416000-2,Цифрові мережі з інтегрованими службами (мережа ISDN)
42418910-1,42418910-1,Завантажувальне обладнання
32344230-7,32344230-7,Радіостанції
34993100-5,34993100-5,Системи освітлення тунелів
42512200-0,42512200-0,Настінні кондиціонери повітря
32333400-0,32333400-0,Відеоплеєри
32552510-5,32552510-5,Відеотекстові термінали
42960000-3,42960000-3,"Системи керування та контролю, друкарське і графічне обладнання та обладнання для автоматизації офісу й обробки інформації"
34731500-5,34731500-5,Частини двигунів для повітряних літальних апаратів
42672000-7,42672000-7,Кріпильні механізми для верстатів
30232150-0,30232150-0,Струменеві принтери
39542000-3,39542000-3,Рядно
30237430-2,30237430-2,Світлові пера
42417300-5,42417300-5,Конвеєрне обладнання
39143113-1,39143113-1,Домашній текстиль
34150000-3,34150000-3,Транспортні симулятори
30211500-6,30211500-6,Центральні процесорні пристрої або процесори
32331500-7,32331500-7,Записувальні прилади
39711350-7,39711350-7,Вафельниці
30237140-2,30237140-2,Материнські плати
42710000-6,42710000-6,Машини для виробництва текстильних виробів
42513100-6,42513100-6,Морозильне обладнання
42611000-2,42611000-2,Верстати спеціального призначення
30237400-3,30237400-3,Пристрої введення даних
39512400-8,39512400-8,Пухові ковдри
39563520-7,39563520-7,Конвеєрні стрічки з текстильних матеріалів
42121300-6,42121300-3,Пневматичні двигуни
39561130-2,39561130-2,Текстильні етикетки і нашивки
42113150-0,42113150-7,Мастильні системи
42642400-2,42642400-2,Верстати для обробки ебоніту
34223100-7,34223100-7,Напівпричепи
30197644-2,30197644-2,Папір для ксерографії
39534000-4,39534000-4,Промислові ковроліни
30192340-6,30192340-6,Факсимільна стрічка
42412110-1,42412110-1,Шахтні лебідки
42993100-4,42993100-4,Хлоратори
30194300-8,30194300-8,"Набори, комплекти та папір для креслення"
34712100-2,34712100-2,Космічні літальні апарати
32440000-9,32440000-9,Телеметричне та термінальне обладнання
34943000-9,34943000-9,Системи контролю руху поїздів
34211000-9,34211000-9,"Кузови автобусів, автомобілів швидкої допомоги та вантажних транспортних засобів"
30194400-9,30194400-9,Накривки для креслярських дощок
30233153-8,30233153-8,Пристрої для читання та/або запису компакт-дисків (CD) та універсальних цифрових дисків (DVD)
39515420-5,39515420-5,Тканинні жалюзі
30191400-8,30191400-8,Шредери
30197321-2,30197321-2,Антистеплери
39264000-0,39264000-0,Механізми швидкозшивання
39713200-5,39713200-5,Пральні та сушильні машини
34114210-4,34114210-4,Транспортні засоби для перевезення в’язнів
30122200-2,30122200-2,Цифрове обладнання для офсетного друку
42400000-0,42400000-0,Підіймально-транспортувальне обладнання та його частини
42943600-4,42943600-4,Високотемпературні циркулятори
39711000-9,39711000-9,Електричні побутові прилади для обробки продуктів харчування
32352000-5,32352000-5,Антени та антенні відбивачі
16620000-7,16620000-7,Доїльні апарати
30197200-8,30197200-8,Теки-реєстратори і канцелярські скріпки
39541130-6,39541130-6,Шнури
42141200-1,42141200-8,Корпуси підшипників
42924790-3,42924790-3,Дезодорувальні апарати
34113000-2,34113000-2,Повнопривідні транспортні засоби
30192123-9,30192123-9,Ручки-маркери
32552200-9,32552200-9,Телетайпи
42996200-6,42996200-6,Фільтр-преси для очищення стічних вод
39711430-2,39711430-2,Конфорки
42996500-9,42996500-9,Ґрати для фільтрування стічних вод
32331600-8,32331600-8,MP3-плеєри
42941000-4,42941000-4,Машини для термічної обробки газів
42999300-8,42999300-8,Частини промислових пилососів
32441200-8,32441200-8,Телеметричне та контрольне обладнання
39831600-2,39831600-2,Засоби для чищення туалету
30194900-4,30194900-4,Захисні накривки для робочих поверхонь
30215100-0,30215100-0,Центральні процесорні пристрої для мікрокомп’ютерів
39141400-6,39141400-6,Вбудовані кухонні меблі
39143111-7,39143111-7,Каркаси для ліжок
34741600-9,34741600-9,Бортові гігієнічні пакети
42122170-2,42122170-9,Мастильні насоси
32581100-0,32581100-0,Кабелі для передачі даних
42122510-8,42122510-5,Перистальтичні насоси
30131500-1,30131500-1,Конвертовідкривальні пристрої
42124300-7,42124300-4,"Частини повітряних чи вакуумних насосів, повітряних чи газових компресорів"
30192121-5,30192121-5,Кулькові ручки
32560000-6,32560000-6,Оптоволоконні матеріали
42997100-2,42997100-2,Машини для перевірки внутрішніх поверхонь трубопроводів
34966100-7,34966100-7,Радіокомпаси
30193600-4,30193600-4,Тримачі для щоденників або календарів
34632000-6,34632000-6,Обладнання для контролю залізничного руху
16800000-3,16800000-3,Частини для сільськогосподарської та лісогосподарської техніки
34514100-4,34514100-4,Бурові судна
42996800-2,42996800-2,Басейни-відстійники
30192000-1,30192000-1,Офісне приладдя
39515000-5,39515000-5,"Штори, портьєри, кухонні штори та тканинні жалюзі"
39134100-1,39134100-1,Комп’ютерні столи
42113171-3,42113171-0,Ротори
34942100-3,34942100-3,Сигнальні стовпи
30237410-6,30237410-6,Комп’ютерні миші
42122430-3,42122430-0,Відцентрові насоси
39715220-5,39715220-5,Резистори для електронагрівальних приладів
42123300-0,42123300-7,Компресори до холодильного устаткування
39831210-1,39831210-1,Мийні засоби для посудомийних машин
34224000-3,34224000-3,"Частини причепів, напівпричепів та інших транспортних засобів"
42610000-5,42610000-5,Лазерні верстати та обробні центри
30199500-5,30199500-5,"Сегрегатори, лотки для листів, коробки для зберігання паперів та подібне приладдя"
39812300-0,39812300-0,Полірувальні воски
39224100-9,39224100-9,Мітли
39532000-0,39532000-0,Килимки
30211400-5,30211400-5,Комп’ютерні конфігурації
32321200-1,32321200-1,Аудіовізуальне обладнання
34620000-9,34620000-9,Рейковий рухомий склад
39520000-3,39520000-3,Готові текстильні вироби
42415100-9,42415100-9,Автонавантажувачі
32552430-0,32552430-0,Кодувальне обладнання
34312500-2,34312500-2,Ущільнювальні прокладки
39254000-7,39254000-7,Пристрої для вимірювання часу
42671100-1,42671100-1,Тримачі лабораторних інструментів
16611000-1,16611000-1,Машини для очищення сільськогосподарської продукції
42612100-0,42612100-0,Обробні центри з горизонтальним шпинделем
34512500-4,34512500-4,Торгові судна
39811200-2,39811200-2,Засоби дезінфекції повітря
32351000-8,32351000-8,Приладдя до аудіо- та відеообладнання
39722300-2,39722300-2,Частини підігрівачів тарілок
39330000-4,39330000-4,Дезінфекційне обладнання
39154100-7,39154100-7,Виставкові стенди
39122100-4,39122100-4,Серванти
30197641-1,30197641-1,Папір для термографічного друку
42123800-5,42123800-2,Компресори для пасажирських літаків
34327200-7,34327200-7,Кермові колонки та механізми
42965000-8,42965000-8,Обладнання для обробки інформації
39227000-9,39227000-9,"Швейні голки, в’язальні спиці та наперстки"
39293100-3,39293100-3,Штучні фрукти
39191000-7,39191000-7,Настінні покриття на паперовій або картонній основі
30192153-8,30192153-8,Штампи
34134100-6,34134100-6,Евакуатори
34136000-9,34136000-9,Фургони
42912330-4,42912330-4,Апарати для очищення води
42662100-5,42662100-5,Обладнання для електрозварювання
42111100-1,42111100-8,Підвісні мотори для до морських суден
34144211-0,34144211-0,Пожежні автомобілі з поворотною драбиною
39811110-4,39811110-4,Диспенсери для освіження повітря
34521100-6,34521100-6,Розвідувальні човни
42943300-1,42943300-1,Занурювані охолоджувачі
39135000-7,39135000-7,Сортувальні столи
42132120-0,42132120-7,Гідравлічні приводи для арматури
42931000-1,42931000-1,Центрифуги
32220000-1,32220000-1,Телевізійна передавальна апаратура без приймальних пристроїв
39514300-1,39514300-1,Паперові рулонні рушники
39133000-3,39133000-3,Етажерки
34144900-7,34144900-7,Транспортні засоби з електричним приводом
42962500-2,42962500-2,Гравірувальні верстати
42131400-0,42131400-7,Крани та вентилі для санітарно-технічного обладнання
32354110-3,32354110-3,Рентгенівська плівка
42623000-9,42623000-9,Фрезерувальні верстати
16311100-9,16311100-9,"Косарки для газонів, парків і спортивних майданчиків"
42923220-0,42923220-0,Ваги для безперервного зважування
30230000-0,30230000-0,Комп’ютерне обладнання
39563100-7,39563100-7,Текстильні набивки
42414320-0,42414320-0,Консольні крани на платформі
30195600-8,30195600-8,Дошки оголошень чи приладдя
34328000-2,34328000-2,"Випробувальні стенди, набори для переобладнання автомобіля та паси безпеки"
34522550-2,34522550-2,Каное
30144000-0,30144000-0,Лічильні апарати
32416100-3,32416100-3,Мережі цифрових автоматичних телефонних станцій з інтегрованими службами (мережі ISDX)
39225720-8,39225720-8,Банки
34512950-3,34512950-3,Судна-рефрижератори
34913800-8,34913800-8,Якорі
39711320-8,39711320-8,Електричні чаєварки
34741200-5,34741200-5,Системи катапультування з повітряних літальних апаратів
34640000-5,34640000-5,Самохідні частини
34321200-5,34321200-5,Коробки передач
30236115-1,30236115-1,"Оперативні запам’ятовувальні пристрої з синхронних доступом (SGRAM), оптимізовані для графічних застосунків"
39522110-1,39522110-1,Брезентові вироби
30192170-3,30192170-3,Дошки для об’яв
30199110-4,30199110-4,Копіювальний папір
16340000-0,16340000-0,Збиральні та обмолочувальні машини
39111200-5,39111200-5,Театральні крісла
34941800-3,34941800-3,Залізничні стрілки
39714000-0,39714000-0,Кухонні витяжки чи очищувачі повітря
32350000-1,32350000-1,Частини до аудіо- та відеообладнання
39226000-2,39226000-2,"Бутлі, футляри для пляшок, фляги та котушки"
42513000-5,42513000-5,Холодильне та морозильне обладнання
34731000-0,34731000-0,Частини повітряних літальних апаратів
42641300-4,42641300-4,Верстати для обробки бетону
34610000-6,34610000-6,Залізничні локомотиви та тендери
34942200-4,34942200-4,"Пульти сигналізації, централізації і блокування"
32552140-0,32552140-0,Таксофонне обладнання
42663000-1,42663000-1,Машини для поверхневої термообробки
42511110-5,42511110-5,Теплові насоси
42700000-3,42700000-3,"Машини для виробництва текстильних виробів, одягу та шкіряних виробів"
30236111-3,30236111-3,Динамічні оперативні запам’ятовувальні пристрої (DRAM)
42665000-5,42665000-5,Машини для металевого напилення
34999410-3,34999410-3,Масштабовані моделі літаків
42141700-6,42141700-3,З’єднувальні муфти для валів
42955000-5,42955000-5,Частини фільтрувальних машин
39717100-2,39717100-2,Вентилятори
42991500-4,42991500-4,Частини друкарських або палітурних машин
34111000-8,34111000-8,Легкові автомобілі типів «універсал» та «седан»
39180000-7,39180000-7,Лабораторні меблі
32354700-6,32354700-6,Відеострічка
39712200-8,39712200-8,Перукарські прилади
32250000-0,32250000-0,Мобільні телефони
30231320-6,30231320-6,Монітори з сенсорним екраном
39515430-8,39515430-8,Горизонтальні жалюзі
42131292-9,42131292-6,Відкидні клапани
42636100-4,42636100-4,Гідравлічні преси
42131130-6,42131130-3,Регулятори температури
39812200-9,39812200-9,Засоби для чищення взуття
34311000-0,34311000-0,Двигуни
30124100-5,30124100-5,Термофіксатори
42958000-6,42958000-6,Гирі до зважувальних машин
42123410-4,42123410-1,Вбудовані повітряні компресори
30175000-6,30175000-6,Маркувальне обладнання
30237110-3,30237110-3,Мережеві інтерфейси
39710000-2,39710000-2,Електричні побутові прилади
39143000-6,39143000-6,"Меблі для спальні, їдальні та вітальні"
34931400-6,34931400-6,Симулятори суднових містків
42963000-4,42963000-4,Карбувальні преси
30197300-9,30197300-9,"Канцелярські ножі, степлери та діро коли"
34113100-3,34113100-3,Джипи
39221160-6,39221160-6,Таці
32351100-9,32351100-9,Відеомонтажне обладнання
42932100-9,42932100-9,Валкові машини
42124200-6,42124200-3,Частини насосів і підіймачів рідин
34325100-2,34325100-2,Глушники
30192111-2,30192111-2,Штемпельні подушки
34111100-9,34111100-9,Легкові автомобілі типу «універсал»
39561140-5,39561140-5,Декоративні оздоблювальні матеріали
39518100-7,39518100-7,Штори для операційної зали
30145000-7,30145000-7,Частини та приладдя до лічильних машин
39522500-2,39522500-2,Текстильні вироби для кемпінгу
34700000-4,34700000-4,Повітряні та космічні літальні апарати
42413000-4,42413000-4,Домкрати та автомобільні підіймачі
42923210-7,42923210-7,Магазинні ваги
34223370-0,34223370-0,Причепи-самоскиди
30237480-7,30237480-7,Ввідні блоки
39713210-8,39713210-8,Пральні машини з функцією сушки
34912000-3,34912000-3,Багажні візки
42419520-7,42419520-7,Частини скіпових підіймачів
30142000-6,30142000-6,Обчислювальна техніка та касові апарати
16730000-1,16730000-1,Тягові електродвигуни
39830000-9,39830000-9,Продукція для чищення
39821000-3,39821000-3,Аміачні очищувачі
30199720-3,30199720-3,Пролініяний папір
34730000-3,34730000-3,Частини повітряних і космічних літальних апаратів та вертольотів
34223360-7,34223360-7,Заправні причепи
39341000-4,39341000-4,Газове обладнання для роботи під високим тиском
30192900-0,30192900-0,Корегувальні засоби
32523000-5,32523000-5,Телекомунікаційні інфраструктури
39100000-3,39100000-3,Меблі
30237133-0,30237133-0,Адаптери та інтерфейси стандарту PCMCIA (Міжнародної асоціації комп’ютерних карт пам’яті)
34928520-9,34928520-9,Ліхтарні стовпи
30163100-0,30163100-0,Паливні картки
16611200-3,16611200-3,Машини для очищення фруктів
